114,912;86,617
114,912;161,621
117,075;177,315
122,585;187,850
129,841;194,267
137,236;197,545
146,303;198,870
149,303;198,733
155,372;197,545
162,765;194,267	
170,021;187,850
175,532;177,315
177,696;161,621
177,696;155,314
177,808;132,737
210,696;189,701
219,164;197,054
226,048;198,481
225,989;146,311
225,989;86,617
208,956;86,617
208,856;152,446
188,419;117,526
175,675;95,777
160,616;87,006
160,616;137,981
160,675;161,621
160,116;167,899
158,023;173,758
153,697;178,154
146,303;179,897
138,909;178,154
134,585;173,758
132,492;167,899
131,935;161,621
131,935;86,617
114,912;86,617
